【Microsoft Teams 会議文字起こし（30分サンプル）】
2025/02/14 10:00-10:30

---

佐藤（PM）: おはようございます。それでは30分の定例ミーティングを始めます。録画と文字起こし開始しますね。まずはプロジェクト全体の状況から共有します。

田中（企画）: はい、今週月曜にユーザーインタビュー3件実施してきました。良いフィードバックが多かったんですが、トップページの検索導線がわかりにくいという意見が複数ありました。

佐藤: なるほど。それって改善できそうですか？

鈴木（デザイナー）: はい、現在UI案を2パターン作成中です。水曜までにFigmaに反映します。

佐藤: ありがとうございます。では開発チーム、大江さんお願いします。

大江（開発）: 先週報告していたログイン周りのバグですが、原因特定できました。外部ID連携時のトークン更新処理に問題があり、修正済みです。テスト環境にデプロイ済みですが、念のため追加の結合テストを今日実施予定です。

佐藤: 良かったです。追加テストは今日終わりそうですか？

大江: はい、夕方までには完了します。

佐藤: ありがとうございます。次に、展示会向けプロトタイプの開発ですが、スケジュールの確認させてください。データモデル整理が今週金曜、その後デモ画面作成ですよね？

大江: はい、その順番で対応予定です。

鈴木: すみません、データモデルの資料が共有され次第、私の方でもレイアウト案に反映したいので、Slackでメンションください。

大江: 承知しました。

佐藤: ありがとうございます。では他のタスクですが、運用フロー整理もありましたよね。こちらは来週火曜までに概要をまとめてもらう形でお願いします。

大江: はい、対応します。

田中: すみません、補足いいですか？展示会向けパンフレットの文章案ですが、まだ仕様が確定してない箇所があり、その確認を大江さんにお願いしたいです。木曜13時に打ち合わせ予定です。

大江: 予定入っています。ありがとうございます。

佐藤: では話題変えて、数値目標の進捗確認します。KPIの達成率はどうですか？

田中: 現時点で目標の65%達成しています。ただ、問い合わせ対応が増えているのでFAQ整備を早めた方が良さそうです。

佐藤: 了解です。それって大江さんにも確認依頼ありましたよね？

田中: はい。テンプレート草案は作ってあるので、運用フロー整理が終わったタイミングで確認いただければ大丈夫です。

大江: 承知しました。優先度は低めという理解でOKですか？

田中: はい、その認識で問題ありません。

佐藤: 他に議題ありますか？

鈴木: あ、ちょっと雑談になるんですが、昨日展示会会場の下見行ってきたんですよ。そしたら会場横にめちゃくちゃ美味しいコーヒー屋さんがあって…（笑）

田中: あ、知ってます！あそこのカヌレ最高ですよね！

大江: え、行ったことないです（笑）展示会当日、早めに集合して寄ります？（笑）

佐藤: いいですね（笑）ただ当日は忙しいので、前日が良さそうですね（笑）

全員: （笑）

佐藤: では戻ります。最後に、来週の定例では進捗ボードの整理も行いたいので、各自アップデートお願いします。

田中: 了解です。

鈴木: はい、対応します。

大江: はい、準備します。

佐藤: では今日の議題は以上です。議事録とアクションアイテムは後ほど共有します。ありがとござましたー。

全員:ありがとうございましたー。

--- END ---
